2024/11/15 12:32:06 IP: [::1]:49106 | Method: GET | Path: /files | Duration: 60.071µs
2024/11/15 12:50:55 IP: [::1]:37872 | Method: GET | Path: /files/ | Duration: 63.74µs
2024/11/15 12:51:11 IP: [::1]:39944 | Method: GET | Path: /files/ | Duration: 64.472µs
2024/11/15 12:54:45 IP: [::1]:33354 | Method: GET | Path: /files/ | Duration: 35.804µs
2024/11/15 12:54:58 IP: [::1]:59180 | Method: GET | Path: /files/ | Duration: 90.17µs
2024/11/15 12:55:04 IP: [::1]:41202 | Method: GET | Path: /files/beep.txt | Duration: 57.567µs
2024/11/15 12:55:13 IP: [::1]:38016 | Method: GET | Path: /files/beep.txt | Duration: 56.855µs
2024/11/15 12:56:51 IP: [::1]:40126 | Method: GET | Path: /files/beep.txt | Duration: 46.77µs
2024/11/15 12:56:54 IP: [::1]:40142 | Method: GET | Path: /files/ | Duration: 58.299µs
2024/11/15 12:57:05 IP: [::1]:52004 | Method: GET | Path: /files/beep.txt | Duration: 55.478µs
2024/11/15 12:58:11 IP: [::1]:46128 | Method: GET | Path: /files/beep.txt | Duration: 32.476µs
2024/11/15 12:58:16 IP: [::1]:46142 | Method: GET | Path: /files/ | Duration: 87.951µs
2024/11/15 12:59:24 IP: [::1]:57346 | Method: GET | Path: /files/ | Duration: 62.212µs
2024/11/15 12:59:28 IP: [::1]:57350 | Method: GET | Path: /files/beep.txt | Duration: 42.295µs
2024/11/15 12:59:35 IP: [::1]:36762 | Method: GET | Path: /files/hello_world.txt | Duration: 42.728µs
2024/11/15 16:13:57 IP: [::1]:59072 | Method: GET | Path: /files/ | Duration: 83.183µs
2024/11/15 16:15:09 IP: [::1]:36746 | Method: GET | Path: /files/beep.txt | Duration: 49.727µs
2024/11/15 16:15:16 IP: [::1]:34646 | Method: GET | Path: /files/beep.txt | Duration: 54.151µs
2024/11/15 16:15:22 IP: [::1]:54154 | Method: GET | Path: /files/ | Duration: 75.574µs
2024/11/15 16:15:54 IP: [::1]:35522 | Method: GET | Path: /files/beep.txt | Duration: 35.687µs
2024/11/15 16:21:56 IP: [::1]:34036 | Method: GET | Path: /files/ | Duration: 54.325µs
2024/11/15 16:21:59 IP: [::1]:34052 | Method: GET | Path: /files/ | Duration: 48.312µs
2024/11/15 16:22:37 IP: [::1]:40832 | Method: GET | Path: /files/beep.txt | Duration: 41.805µs
2024/11/15 16:22:40 IP: [::1]:56340 | Method: GET | Path: /files/beep.txt | Duration: 42.156µs
2024/11/15 16:22:43 IP: [::1]:56354 | Method: GET | Path: /files/beep.txt | Duration: 78.674µs
